Area;Requirement;Property;URI;Range;Usage Note;Cardinality;Ckan;package_show;How captured?;Remarks
Dataset;Mandatory;Description;dct:description;rdfs:Literal;;1..n;Omschrijving;notes;;
Dataset;Mandatory;Title;dct:title;rdfs:Literal;;1..n;Titel;title;;
Dataset;Mandatory;Contact Point;dcat:contact-Point;v:Vcard;;0..n;Beheerder;maintainer|maintainer_email;;
Dataset;Mandatory;Dataset distribution;dcat:distribution;dcat:Distribution;;0..n;;resources;List, count length;
Dataset;Mandatory;Publisher;dct:publisher;foaf:Agent;;0..1;Organisatie;author|author_email;;
Dataset;Optional;Keyword/tag;dcat:keyword;rdfs:Literal;;0..n;Tags;tags;List, count length;
Dataset;Optional;Theme/category;dcat:theme;skos:Concept;;0..n;Groep;groups;List, count length;
Dataset;Optional;Access Rights;dct:accessRights;dct:RightsStatement;;0..1;Toegangsrechten;;;
Dataset;Optional;Conforms to;dct:conformsTo;dct:Standard;;0..n;;;;
Dataset;Optional;Documentations;foaf:page;foaf:Document;;0..n;Documentatie;;;
Dataset;Optional;Frequency;dct:accrualPeriodicity;dct:Frequency;;0..1;Update frequentie;;;
Dataset;Optional;Has version;dct:HasVersion;dcat:Dataset;;0..n;Heeft versie;;;
Dataset;Optional;Identifier;dct:identifier;rdfs:Literal;;0..n;;;;
Dataset;Optional;Is version of;dct:isVersionOf;dcat:Dataset;;0..n;is versie van;;;
Dataset;Optional;Landing page;dcat:landingPage;foaf:Document;;0..1;Bijsluiter;;;
Dataset;Optional;Language;dct:language;dct:LinguisticSystem;;0..n;Taal;;;
Dataset;Optional;Other identifier;adms:identifier;adms:Identifier;;0..n;identifier;;;
Dataset;Optional;Provenance;dct:provenance;dct:ProvenanceStatement;;0..n;herkomst;;;
Dataset;Optional;Related resource;dct:relation;dct:Relation;;0..n;Verwante bron;;;
Dataset;Optional;Release date;dct:issued;xsd:dateTime;;0..1;Datum Publicatie;metadata_created;Datetime;
Dataset;Optional;Sample;adms:sample;dcat:Distribution;;0..n;Voorbeeld;;;
Dataset;Optional;Source;dct:source;dcat:Dataset;;0..n;Bron;;;
Dataset;Optional;Spatial / geographical coverage;dct:spatial;dct:Location;;0..n;Geografische dekking;;;
Dataset;Optional;Temporal coverage;dct:temporal;dct:PeriodOfTime;;0..n;Dekking in Tijd;;;
Dataset;Optional;Type;dct:type;skos:Concept;;0..1;Type;type;;Expected: dataset. Can we have something else?
Dataset;Optional;Update/Modification date;dct:modified;xsd:dateTime;;0..1;Laatst gewijzigd;metadata_modified;Datetime;
Dataset;Optional;Version;schema:version;rdfs:Literal;;0..1;Versie;;;
Dataset;Optional;Version Notes;adms:version-notes;rdfs:Literal;;0..n;Versie Nota's;;;
Dataset;;;;;;;;creator_user_id;;How many different creators do we have. How many datasets per creator?
;;;;;;;;owner_org;;How many different organizations do we have. How are creators and organizations linked?
;;;;;;;;lod_stars;;LOD Classification (NL)
;;;;;;;;theme_facet;;Group? (NL)
;;;;;;;;tracking_summary_recent;Integer;Count of recent views
;;;;;;;;tracking_summary_total;Integer;Count of total views
